id,metanetx_id,name,id_kegg,name_kegg
10fthf,MNXM237,10-Formyltetrahydrofolate,C00234,10-Formyl-THF|10-Formyltetrahydrofolate
10fthf5glu,MNXM3428,10fthf5glu,,
10fthf6glu,MNXM3429,10fthf6glu,,
10fthf7glu,MNXM5422,10fthf7glu,,
10fthfglu__L,MNXM164047,10-Formyltetrahydrofolyl L-glutamate,,
11_cis_retfa,MNXM146564,11 cis retfa,,
11docrtsl,MNXM163103,11docrtsl,,
11docrtstrn,MNXM162887,11docrtstrn,,
12HPET,MNXM13989,12HPET,,
12RHPET,MNXM13994,12RHPET,,
12d3k5m,MNXM163631,1 2 dihydroxy 3 keto 5 methylthiopentene,,
12dag3p_BS,MNXM163072,1 2 diacyl sn glycerol 3 phosphate,,
12dgr120,MNXM4939,"1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)",,
12dgr140,MNXM146479,"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)",,
12dgr141,MNXM4940,"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)",,
12dgr160,MNXM3132,"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)",,
12dgr16018111Z,MNXM145578,"1,2-Diacyl-sn-glycerol (1-hexadecanoyl,2-(11Z)-octadecenoyl, 16:0/18:1(11Z))",,
12dgr1601819Z,MNXM145574,"1,2-Diacyl-sn-glycerol (1-hexadecanoyl,2-(9Z)-octadecenoyl, 16:0/18:1(9Z))",,
12dgr161,MNXM3774,"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)",,
12dgr180,MNXM4217,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",,
12dgr1801819Z,MNXM145575,"1,2-Diacyl-sn-glycerol (1-octadecanoyl,2-(9Z)-octadecenoyl, 18:0/18:1(9Z))",,
12dgr181,MNXM3775,"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)",,
12dgr18111Z160,MNXM147342,"1,2-Diacyl-sn-glycerol (1-(11Z)-octadecenoyl,2-hexadecanoyl, 18:1(11Z)/16:0)",,
12dgr18111Z18111Z,MNXM145577,"1,2-Diacyl-sn-glycerol (1,2-di-(11Z)-octadecenoyl, 18:1(11Z)/18:1(11Z))",,
12dgr18111Z1819Z,MNXM145566,"1,2-Diacyl-sn-glycerol (1-(11Z)-octadecenoyl,2-(9Z)-octadecenoyl, 18:1(11Z)/18:1(9Z))",,
12dgr1819Z160,MNXM146745,"1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-hexadecanoyl, 18:1(9Z)/16:0)",,
12dgr1819Z1619Z,MNXM147343,"1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-(9Z)-hexadecenoyl, 18:1(9Z)/16:1(9Z))",,
12dgr1819Z18111Z,MNXM145573,"1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-(11Z)-octadecenoyl, 18:1(9Z)/18:1(11Z))",,
12dgr1819Z1819Z,MNXM145565,"1,2-Diacyl-sn-glycerol (1,2-di-(9Z)-octadecenoyl, 18:1(9Z)/18:1(9Z))",,
12dgr181_9,MNXM147348,"1,2-Diacyl-sn-glycerol (dioctadec-9-enoyl, n-C18 1)",,
12dgr182_9_12,MNXM147347,"1,2-Diacyl-sn-glycerol (dioctadec-9-12-dienoyl, n-C18 2)",,
12dgr183_6_9_12,MNXM147345,"1,2-Diacyl-sn-glycerol (dioctadec-6-9-12-trienoyl, n-C18 3)",,
12dgr183_9_12_15,MNXM147346,"1,2-Diacyl-sn-glycerol (dioctadec-9-12-15-trienoyl, n-C18 3)",,
12dgr184_6_9_12_15,MNXM147344,"1,2-Diacyl-sn-glycerol (dioctadec-6-9-12-15-tetraenoyl, n-C18 4)",,
12dgr2_ST,MNXM147508,"Membrane 1,2-diacylglycerol mixture",,
12dgr_BS,MNXM162881,1 2 diacylglycerol,,
12dgr_EC,MNXM90584,"1,2-Diacylglycerol (E.coli)",,
12dgr_HP,MNXM9526,"1,2-Diacylglycerol Hp specific",,
12dgr_SA,MNXM91042,"1,2-Daicylglycerol (Saureus)",,
12dgr_SC,MNXM1012,1 2 Diacylglycerol (yeast specific),,
12harachd,MNXM13977,12harachd,,
12ppd__R,MNXM90191,"(R)-Propane-1,2-diol",C02912,"(R)-1,2-Propanediol|(R)-Propane-1,2-diol|(R)-Propylene glycol"
12ppd__S,MNXM1255,"(S)-Propane-1,2-diol",C02917,"(S)-1,2-Propanediol|(S)-Propane-1,2-diol|(S)-Propylene glycol"
13BDglcn,MNXM91349,1 3 beta D Glucan,,
13Shocdcy1829Z11Ea,MNXM9689,"(9Z,11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid",C14762,"(13S)-Hydroxyoctadecadienoic acid|(9Z,11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid|13(S)-HODE"
13Shpocdcy1829Z11Ea,MNXM2313,"(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid",C04717,"(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate|(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid|13(S)-HPODE|13S-Hydroperoxy-9Z,11E-octadecadienoic acid"
13_cis_oretn,MNXM146866,13 cis oretn,,
13_cis_retn,MNXM58377,13 cis retn,,
13_cis_retnglc,MNXM146867,13 cis retnglc,,
13dampp,MNXM146468,1 3 Diaminopropane,,
13dpg,MNXM261,3-Phospho-D-glyceroyl phosphate,C00236,"(R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid|1,3-Bisphospho-D-glycerate|3-Phospho-D-glyceroyl phosphate|D-Glycerate 1,3-diphosphate"
13oocdcy1829Z11Ea,MNXM101404,"(9Z,11E)-13-Oxooctadeca-9,11-dienoic acid",C14765,"(9Z,11E)-13-Oxooctadeca-9,11-dienoic acid|13-KODE|13-OxoODE"
13ppd,MNXM2861,"1,3-Propanediol",C02457,"1,3-Propanediol|Propane-1,3-diol|Trimethylene glycol"
14bxyl,MNXM165397,1 4 beta D Xylan,,
14dhncoa,MNXM147663,"1,4-dihydroxy-2-napthoyl-CoA",,
14glucan,MNXM2905,"1,4-alpha-D-glucan",,
14glun,MNXM91761,1 4 alpha D Glucosyl n,,
15HPET,MNXM162620,15HPET,,
15dap,MNXM943,"1,5-Diaminopentane",C01672,"1,5-Diaminopentane|1,5-Pentanediamine|Cadaverine|Pentamethylenediamine"
16BDglcn,MNXM165456,1 6 beta D Glucan,,
17ahprgnlone,MNXM162733,17ahprgnlone,,
17ahprgstrn,MNXM162621,17ahprgstrn,,
18harachd,MNXM14054,18harachd,,
1Dgali,MNXM878,1 alpha D Galactosyl myo inositol,C01235,1-alpha-D-Galactosyl-D-myo-inositol|1-alpha-D-Galactosyl-myo-inositol|3-O-alpha-D-Galactosyl-1D-myo-inositol|Galactinol|O-alpha-D-Galactosyl-(1->3)-1D-myo-inositol|alpha-D-Galactosyl-(1->3)-1D-myo-inositol
1a2425thvitd2,MNXM9596,1a2425thvitd2,,
1a2425thvitd3,MNXM9597,1a2425thvitd3,,
1a25dhvitd2,MNXM9598,1a25dhvitd2,,
1a25dhvitd3,MNXM9599,1a25dhvitd3,,
1acpc,MNXM1128,1-Aminocyclopropane-1-carboxylate,C01234,1-Aminocyclopropane-1-carboxylate|1-Aminocyclopropane-1-carboxylic acid
1ag3p_BS,MNXM6656,1 Acyl sn glycerol 3 phsophate,,
1ag3p_SC,MNXM145527,1 Acyl sn glycerol 3 phosphate,C00681,1-Acyl-sn-glycerol 3-phosphate|2-Lysophosphatidate|Lysophosphatidate|Lysophosphatidic acid
1ag3p_SC,MNXM145527,1 Acyl sn glycerol 3 phosphate,C03849,Acyl-sn-glycerol 3-phosphate
1agly3p_SC,MNXM91819,1 Acyl glycerone 3 phosphate (yeast specific),,
1agpc_SC,MNXM147657,1 Acyl sn glycerol 3 phosphocholine (yeast specific),,
1agpe120,MNXM32692,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0),,
1agpe140,MNXM32693,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0),,
1agpe141,MNXM6599,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1),,
1agpe160,MNXM32511,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),,
1agpe161,MNXM6601,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1),,
1agpe180,MNXM32694,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),,
1agpe181,MNXM9584,1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1),,
1agpe18111Z,MNXM145879,1-Acyl-sn-glycero-3-phosphoethanolamine (18:1(11Z)),,
1agpe1819Z,MNXM145880,1-Acyl-sn-glycero-3-phosphoethanolamine (18:1(9Z)),,
1agpe1829Z12Z,MNXM147357,"1-Acyl-sn-glycero-3-phosphoethanolamine (18:2(9Z,12Z))",,
1agpg120,MNXM32695,1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0),,
1agpg140,MNXM6603,1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0),,
1agpg141,MNXM6604,1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1),,
1agpg160,MNXM6605,1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0),,
1agpg161,MNXM6606,1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1),,
